;;;;;;;;;;;;
Capacidad Instlada;;;;;;;;;;;;
País;Año;Descripción;Dato;Unidad;;;;;;;;
Venezuela;2000;Otros;;MW;;;;;;;;
Venezuela;2000;Térmica renovable;;MW;;;;;;;;
América Central;2000;Hidro;3298,73;MW;;;;;;;;
América Central;2000;Térmica no renovable;3009,37;MW;;;;;;;;
América Central;2000;Nuclear;0,00;MW;;;;;;;;
América Central;2000;Geotermia;404,17;MW;;;;;;;;
América Central;2000;Eólica;0,00;MW;;;;;;;;
América Central;2000;Solar;0,00;MW;;;;;;;;
América Central;2000;Otros;0,00;MW;;;;;;;;
América Central;2000;Térmica renovable;207,90;MW;;;;;;;;
América del Sur;2000;Hidro;110586,50;MW;;;;;;;;
América del Sur;2000;Térmica no renovable;44804,08;MW;;;;;;;;
América del Sur;2000;Nuclear;2984,00;MW;;;;;;;;
América del Sur;2000;Geotermia;0,00;MW;;;;;;;;
América del Sur;2000;Eólica;33,73;MW;;;;;;;;
América del Sur;2000;Solar;0,01;MW;;;;;;;;
América del Sur;2000;Otros;0,00;MW;;;;;;;;
América del Sur;2000;Térmica renovable;2025,85;MW;;;;;;;;
Caribe;2000;Hidro;786,83;MW;;;;;;;;
Caribe;2000;Térmica no renovable;11036,90;MW;;;;;;;;
Caribe;2000;Nuclear;;MW;;;;;;;;
Caribe;2000;Geotermia;;MW;;;;;;;;
Caribe;2000;Eólica;0,01;MW;;;;;;;;
Caribe;2000;Solar;0,01;MW;;;;;;;;
Caribe;2000;Otros;;MW;;;;;;;;
Caribe;2000;Térmica renovable;873,90;MW;;;;;;;;
Cono Sur;2000;Hidro;83959,99;MW;;;;;;;;
Cono Sur;2000;Térmica no renovable;26079,45;MW;;;;;;;;
Cono Sur;2000;Nuclear;2984,00;MW;;;;;;;;
Cono Sur;2000;Geotermia;0,00;MW;;;;;;;;
Cono Sur;2000;Eólica;33,03;MW;;;;;;;;
Cono Sur;2000;Solar;0,00;MW;;;;;;;;
Cono Sur;2000;Otros;0,00;MW;;;;;;;;
Cono Sur;2000;Térmica renovable;1988,85;MW;;;;;;;;
Cono Sur sin Brasil;2000;Hidro;22896,99;MW;;;;;;;;
Cono Sur sin Brasil;2000;Térmica no renovable;17405,87;MW;;;;;;;;
Cono Sur sin Brasil;2000;Nuclear;1018,00;MW;;;;;;;;
Cono Sur sin Brasil;2000;Geotermia;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2000;Eólica;14,00;MW;;;;;;;;
Cono Sur sin Brasil;2000;Solar;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2000;Otros;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2000;Térmica renovable;39,43;MW;;;;;;;;
Zona Andina;2000;Hidro;26437,02;MW;;;;;;;;
Zona Andina;2000;Térmica no renovable;18291,14;MW;;;;;;;;
Zona Andina;2000;Nuclear;;MW;;;;;;;;
Zona Andina;2000;Geotermia;;MW;;;;;;;;
Zona Andina;2000;Eólica;0,70;MW;;;;;;;;
Zona Andina;2000;Solar;0,00;MW;;;;;;;;
Zona Andina;2000;Otros;;MW;;;;;;;;
Zona Andina;2000;Térmica renovable;13,00;MW;;;;;;;;
América Latina y el Caribe;2000;Hidro;124101,72;MW;;;;;;;;
América Latina y el Caribe;2000;Térmica no renovable;83272,43;MW;;;;;;;;
América Latina y el Caribe;2000;Nuclear;4348,88;MW;;;;;;;;
América Latina y el Caribe;2000;Geotermia;1259,07;MW;;;;;;;;
América Latina y el Caribe;2000;Eólica;35,91;MW;;;;;;;;
América Latina y el Caribe;2000;Solar;0,01;MW;;;;;;;;
América Latina y el Caribe;2000;Otros;0,00;MW;;;;;;;;
América Latina y el Caribe;2000;Térmica renovable;3083,65;MW;;;;;;;;
Argentina;2001;Hidro;9633,01;MW;;;;;;;;
Argentina;2001;Térmica no renovable;12883,59;MW;;;;;;;;
Argentina;2001;Nuclear;1018,00;MW;;;;;;;;
Argentina;2001;Geotermia;;MW;;;;;;;;
Argentina;2001;Eólica;25,00;MW;;;;;;;;
Argentina;2001;Solar;0,00;MW;;;;;;;;
Argentina;2001;Otros;;MW;;;;;;;;
Argentina;2001;Térmica renovable;;MW;;;;;;;;
Barbados;2001;Hidro;;MW;;;;;;;;
Barbados;2001;Térmica no renovable;165,50;MW;;;;;;;;
Barbados;2001;Nuclear;;MW;;;;;;;;
Barbados;2001;Geotermia;;MW;;;;;;;;
Barbados;2001;Eólica;;MW;;;;;;;;
Barbados;2001;Solar;;MW;;;;;;;;
Barbados;2001;Otros;;MW;;;;;;;;
Barbados;2001;Térmica renovable;;MW;;;;;;;;
Belice;2001;Hidro;25,00;MW;;;;;;;;
Belice;2001;Térmica no renovable;19,00;MW;;;;;;;;
Belice;2001;Nuclear;;MW;;;;;;;;
Belice;2001;Geotermia;;MW;;;;;;;;
Belice;2001;Eólica;;MW;;;;;;;;
Belice;2001;Solar;;MW;;;;;;;;
Belice;2001;Otros;;MW;;;;;;;;
Belice;2001;Térmica renovable;;MW;;;;;;;;
Bolivia;2001;Hidro;372,50;MW;;;;;;;;
Bolivia;2001;Térmica no renovable;854,78;MW;;;;;;;;
Bolivia;2001;Nuclear;;MW;;;;;;;;
Bolivia;2001;Geotermia;;MW;;;;;;;;
Bolivia;2001;Eólica;0,00;MW;;;;;;;;
Bolivia;2001;Solar;0,00;MW;;;;;;;;
Bolivia;2001;Otros;;MW;;;;;;;;
Bolivia;2001;Térmica renovable;0,00;MW;;;;;;;;
Brasil;2001;Hidro;62409,00;MW;;;;;;;;
Brasil;2001;Térmica no renovable;8526,14;MW;;;;;;;;
Brasil;2001;Nuclear;1966,00;MW;;;;;;;;
Brasil;2001;Geotermia;;MW;;;;;;;;
Brasil;2001;Eólica;21,00;MW;;;;;;;;
Brasil;2001;Solar;0,00;MW;;;;;;;;
Brasil;2001;Otros;;MW;;;;;;;;
Brasil;2001;Térmica renovable;1954,86;MW;;;;;;;;
Chile;2001;Hidro;4347,94;MW;;;;;;;;
Chile;2001;Térmica no renovable;5217,30;MW;;;;;;;;
Chile;2001;Nuclear;0,00;MW;;;;;;;;
Chile;2001;Geotermia;0,00;MW;;;;;;;;
Chile;2001;Eólica;1,98;MW;;;;;;;;
Chile;2001;Solar;0,00;MW;;;;;;;;
Chile;2001;Otros;0,00;MW;;;;;;;;
Chile;2001;Térmica renovable;25,70;MW;;;;;;;;
Colombia;2001;Hidro;8682,23;MW;;;;;;;;
Colombia;2001;Térmica no renovable;4465,00;MW;;;;;;;;
Colombia;2001;Nuclear;;MW;;;;;;;;
Colombia;2001;Geotermia;;MW;;;;;;;;
Colombia;2001;Eólica;;MW;;;;;;;;
Colombia;2001;Solar;;MW;;;;;;;;
Colombia;2001;Otros;;MW;;;;;;;;
Colombia;2001;Térmica renovable;13,00;MW;;;;;;;;
Costa Rica;2001;Hidro;1267,92;MW;;;;;;;;
Costa Rica;2001;Térmica no renovable;274,19;MW;;;;;;;;
Costa Rica;2001;Nuclear;0,00;MW;;;;;;;;
Costa Rica;2001;Geotermia;144,71;MW;;;;;;;;
Costa Rica;2001;Eólica;19,80;MW;;;;;;;;
Costa Rica;2001;Solar;0,00;MW;;;;;;;;
Costa Rica;2001;Otros;0,00;MW;;;;;;;;
Costa Rica;2001;Térmica renovable;12,00;MW;;;;;;;;
Cuba;2001;Hidro;57,40;MW;;;;;;;;
Cuba;2001;Térmica no renovable;3449,10;MW;;;;;;;;
Cuba;2001;Nuclear;;MW;;;;;;;;
Cuba;2001;Geotermia;;MW;;;;;;;;
Cuba;2001;Eólica;0,00;MW;;;;;;;;
Cuba;2001;Solar;0,00;MW;;;;;;;;
Cuba;2001;Otros;;MW;;;;;;;;
Cuba;2001;Térmica renovable;904,40;MW;;;;;;;;
Ecuador;2001;Hidro;1737,82;MW;;;;;;;;
Ecuador;2001;Térmica no renovable;1506,26;MW;;;;;;;;
Ecuador;2001;Nuclear;;MW;;;;;;;;
Ecuador;2001;Geotermia;;MW;;;;;;;;
Ecuador;2001;Eólica;0,00;MW;;;;;;;;
Ecuador;2001;Solar;0,00;MW;;;;;;;;
Ecuador;2001;Otros;;MW;;;;;;;;
Ecuador;2001;Térmica renovable;0,00;MW;;;;;;;;
El Salvador;2001;Hidro;395,80;MW;;;;;;;;
El Salvador;2001;Térmica no renovable;560,60;MW;;;;;;;;
El Salvador;2001;Nuclear;;MW;;;;;;;;
El Salvador;2001;Geotermia;161,20;MW;;;;;;;;
El Salvador;2001;Eólica;;MW;;;;;;;;
El Salvador;2001;Solar;;MW;;;;;;;;
El Salvador;2001;Otros;;MW;;;;;;;;
El Salvador;2001;Térmica renovable;0,00;MW;;;;;;;;
Grenada;2001;Hidro;;MW;;;;;;;;
Grenada;2001;Térmica no renovable;42,45;MW;;;;;;;;
Grenada;2001;Nuclear;;MW;;;;;;;;
Grenada;2001;Geotermia;;MW;;;;;;;;
Grenada;2001;Eólica;;MW;;;;;;;;
Grenada;2001;Solar;;MW;;;;;;;;
Grenada;2001;Otros;;MW;;;;;;;;
Grenada;2001;Térmica renovable;;MW;;;;;;;;
Guatemala;2001;Hidro;480,60;MW;;;;;;;;
Guatemala;2001;Térmica no renovable;772,40;MW;;;;;;;;
Guatemala;2001;Nuclear;;MW;;;;;;;;
Guatemala;2001;Geotermia;23,00;MW;;;;;;;;
Guatemala;2001;Eólica;0,00;MW;;;;;;;;
Guatemala;2001;Solar;0,00;MW;;;;;;;;
Guatemala;2001;Otros;;MW;;;;;;;;
Guatemala;2001;Térmica renovable;179,90;MW;;;;;;;;
Guyana;2001;Hidro;0,50;MW;;;;;;;;
Guyana;2001;Térmica no renovable;233,49;MW;;;;;;;;
Guyana;2001;Nuclear;;MW;;;;;;;;
Guyana;2001;Geotermia;;MW;;;;;;;;
Guyana;2001;Eólica;0,01;MW;;;;;;;;
Guyana;2001;Solar;0,01;MW;;;;;;;;
Guyana;2001;Otros;;MW;;;;;;;;
Guyana;2001;Térmica renovable;24,00;MW;;;;;;;;
Haiti;2001;Hidro;63,00;MW;;;;;;;;
Haiti;2001;Térmica no renovable;181,00;MW;;;;;;;;
Haiti;2001;Nuclear;;MW;;;;;;;;
Haiti;2001;Geotermia;;MW;;;;;;;;
Haiti;2001;Eólica;;MW;;;;;;;;
Haiti;2001;Solar;;MW;;;;;;;;
Haiti;2001;Otros;;MW;;;;;;;;
Haiti;2001;Térmica renovable;;MW;;;;;;;;
Honduras;2001;Hidro;435,20;MW;;;;;;;;
Honduras;2001;Térmica no renovable;486,40;MW;;;;;;;;
Honduras;2001;Nuclear;;MW;;;;;;;;
Honduras;2001;Geotermia;0,00;MW;;;;;;;;
Honduras;2001;Eólica;0,00;MW;;;;;;;;
Honduras;2001;Solar;0,00;MW;;;;;;;;
Honduras;2001;Otros;;MW;;;;;;;;
Honduras;2001;Térmica renovable;1,50;MW;;;;;;;;
Jamaica;2001;Hidro;24,10;MW;;;;;;;;
Jamaica;2001;Térmica no renovable;679,20;MW;;;;;;;;
Jamaica;2001;Nuclear;;MW;;;;;;;;
Jamaica;2001;Geotermia;;MW;;;;;;;;
Jamaica;2001;Eólica;;MW;;;;;;;;
Jamaica;2001;Solar;;MW;;;;;;;;
Jamaica;2001;Otros;;MW;;;;;;;;
Jamaica;2001;Térmica renovable;;MW;;;;;;;;
México;2001;Hidro;9619,16;MW;;;;;;;;
México;2001;Térmica no renovable;26694,67;MW;;;;;;;;
México;2001;Nuclear;1364,88;MW;;;;;;;;
México;2001;Geotermia;837,90;MW;;;;;;;;
México;2001;Eólica;2,18;MW;;;;;;;;
México;2001;Solar;;MW;;;;;;;;
México;2001;Otros;;MW;;;;;;;;
México;2001;Térmica renovable;;MW;;;;;;;;
Nicaragua;2001;Hidro;107,81;MW;;;;;;;;
Nicaragua;2001;Térmica no renovable;442,33;MW;;;;;;;;
Nicaragua;2001;Nuclear;;MW;;;;;;;;
Nicaragua;2001;Geotermia;70,00;MW;;;;;;;;
Nicaragua;2001;Eólica;;MW;;;;;;;;
Nicaragua;2001;Solar;;MW;;;;;;;;
Nicaragua;2001;Otros;;MW;;;;;;;;
Nicaragua;2001;Térmica renovable;27,80;MW;;;;;;;;
Panamá;2001;Hidro;613,10;MW;;;;;;;;
Panamá;2001;Térmica no renovable;649,60;MW;;;;;;;;
Panamá;2001;Nuclear;;MW;;;;;;;;
Panamá;2001;Geotermia;;MW;;;;;;;;
Panamá;2001;Eólica;;MW;;;;;;;;
Panamá;2001;Solar;;MW;;;;;;;;
Panamá;2001;Otros;;MW;;;;;;;;
Panamá;2001;Térmica renovable;;MW;;;;;;;;
Paraguay;2001;Hidro;7410,00;MW;;;;;;;;
Paraguay;2001;Térmica no renovable;6,10;MW;;;;;;;;
Paraguay;2001;Nuclear;;MW;;;;;;;;
Paraguay;2001;Geotermia;;MW;;;;;;;;
Paraguay;2001;Eólica;;MW;;;;;;;;
Paraguay;2001;Solar;;MW;;;;;;;;
Paraguay;2001;Otros;;MW;;;;;;;;
Paraguay;2001;Térmica renovable;;MW;;;;;;;;
Perú;2001;Hidro;2966,33;MW;;;;;;;;
Perú;2001;Térmica no renovable;2939,67;MW;;;;;;;;
Perú;2001;Nuclear;;MW;;;;;;;;
Perú;2001;Geotermia;;MW;;;;;;;;
Perú;2001;Eólica;0,70;MW;;;;;;;;
Perú;2001;Solar;;MW;;;;;;;;
Perú;2001;Otros;;MW;;;;;;;;
Perú;2001;Térmica renovable;;MW;;;;;;;;
República Dominicana;2001;Hidro;463,78;MW;;;;;;;;
República Dominicana;2001;Térmica no renovable;5270,21;MW;;;;;;;;
República Dominicana;2001;Nuclear;;MW;;;;;;;;
República Dominicana;2001;Geotermia;;MW;;;;;;;;
República Dominicana;2001;Eólica;;MW;;;;;;;;
República Dominicana;2001;Solar;;MW;;;;;;;;
República Dominicana;2001;Otros;;MW;;;;;;;;
República Dominicana;2001;Térmica renovable;;MW;;;;;;;;
Suriname;2001;Hidro;189,00;MW;;;;;;;;
Suriname;2001;Térmica no renovable;200,00;MW;;;;;;;;
Suriname;2001;Nuclear;;MW;;;;;;;;
Suriname;2001;Geotermia;;MW;;;;;;;;
Suriname;2001;Eólica;;MW;;;;;;;;
Suriname;2001;Solar;;MW;;;;;;;;
Suriname;2001;Otros;;MW;;;;;;;;
Suriname;2001;Térmica renovable;;MW;;;;;;;;
Trinidad y Tobago;2001;Hidro;;MW;;;;;;;;
Trinidad y Tobago;2001;Térmica no renovable;1416,70;MW;;;;;;;;
Trinidad y Tobago;2001;Nuclear;;MW;;;;;;;;
Trinidad y Tobago;2001;Geotermia;;MW;;;;;;;;
Trinidad y Tobago;2001;Eólica;;MW;;;;;;;;
Trinidad y Tobago;2001;Solar;;MW;;;;;;;;
Trinidad y Tobago;2001;Otros;;MW;;;;;;;;
Trinidad y Tobago;2001;Térmica renovable;;MW;;;;;;;;
Uruguay;2001;Hidro;1538,00;MW;;;;;;;;
Uruguay;2001;Térmica no renovable;520,36;MW;;;;;;;;
Uruguay;2001;Nuclear;;MW;;;;;;;;
Uruguay;2001;Geotermia;;MW;;;;;;;;
Uruguay;2001;Eólica;;MW;;;;;;;;
Uruguay;2001;Solar;;MW;;;;;;;;
Uruguay;2001;Otros;;MW;;;;;;;;
Uruguay;2001;Térmica renovable;13,73;MW;;;;;;;;
Venezuela;2001;Hidro;13207,00;MW;;;;;;;;
Venezuela;2001;Térmica no renovable;8111,00;MW;;;;;;;;
Venezuela;2001;Nuclear;;MW;;;;;;;;
Venezuela;2001;Geotermia;;MW;;;;;;;;
Venezuela;2001;Eólica;;MW;;;;;;;;
Venezuela;2001;Solar;;MW;;;;;;;;
Venezuela;2001;Otros;;MW;;;;;;;;
Venezuela;2001;Térmica renovable;;MW;;;;;;;;
América Central;2001;Hidro;3325,43;MW;;;;;;;;
América Central;2001;Térmica no renovable;3204,52;MW;;;;;;;;
América Central;2001;Nuclear;0,00;MW;;;;;;;;
América Central;2001;Geotermia;398,91;MW;;;;;;;;
América Central;2001;Eólica;19,80;MW;;;;;;;;
